cell_id,x,y,cell_type_annotation,niche_annotation
117,17465,86153,unknown,T cell Zone
120,17364,86138,follicular dendritic cell,T cell Zone
121,17629,86127,T-zone reticular cell,T cell Zone
122,17253,86134,pericyte,T cell Zone
123,17304,86123,pericyte,T cell Zone
124,17410,86112,follicular dendritic cell,T cell Zone
125,17179,86133,unknown,T cell Zone
128,18068,86067,follicular dendritic cell,T cell Zone
129,17086,86095,CD4 T cell,T cell Zone
130,17927,86105,Memory B cell,B cell Zone
131,17736,86092,Memory B cell,T cell Zone
132,17133,86094,T-zone reticular cell,T cell Zone
134,17464,86111,unknown,T cell Zone
136,17536,86079,macrophage,T cell Zone
137,17208,86078,unknown,T cell Zone
138,17889,86070,Memory B cell,T cell Zone
139,17343,86066,macrophage,T cell Zone
141,17422,86054,macrophage,T cell Zone
142,17247,86047,T-zone reticular cell,T cell Zone
143,17837,86076,macrophage,T cell Zone
144,17970,86036,Memory B cell,B cell Zone
145,17759,86037,macrophage,T cell Zone
147,17475,86034,pericyte,T cell Zone
149,17669,86052,Memory B cell,T cell Zone
150,17137,86019,T-zone reticular cell,T cell Zone
151,17280,86027,follicular dendritic cell,T cell Zone
152,17564,86013,follicular dendritic cell,T cell Zone
154,16931,86012,follicular dendritic cell,T cell Zone
157,17346,85979,T-zone reticular cell,T cell Zone
158,17196,86014,follicular dendritic cell,T cell Zone
159,18012,86022,CD4 T cell,T cell Zone
160,17898,86000,interferon-stimulated cell,T cell Zone
163,17647,86002,macrophage,T cell Zone
164,17835,86014,interferon-stimulated cell,T cell Zone
166,17803,85986,Memory B cell,T cell Zone
168,17439,85979,follicular dendritic cell,T cell Zone
169,17061,85975,CD4 T cell,T cell Zone
170,16897,85967,follicular dendritic cell,T cell Zone
171,18009,85969,Memory B cell,B cell Zone
172,17178,85965,follicular dendritic cell,T cell Zone
173,17257,85956,follicular dendritic cell,T cell Zone
174,17955,85967,Memory B cell,T cell Zone
175,17719,85965,Memory B cell,B cell Zone
176,17515,85959,follicular dendritic cell,T cell Zone
178,17474,85947,follicular dendritic cell,T cell Zone
180,16931,85908,pericyte,T cell Zone
182,17916,85914,Memory B cell,B cell Zone
184,17830,85936,macrophage,T cell Zone
186,17696,85936,Memory B cell,T cell Zone
187,17447,85902,follicular dendritic cell,T cell Zone
188,17549,85894,Memory B cell,T cell Zone
191,17193,85898,follicular dendritic cell,T cell Zone
192,16843,85898,T-zone reticular cell,T cell Zone
193,17996,85907,Naive B cell,B cell Zone
194,17344,85901,macrophage,T cell Zone
196,17878,85898,Memory B cell,B cell Zone
199,17285,85883,macrophage,T cell Zone
200,17386,85863,Memory B cell,T cell Zone
202,17763,85881,Memory B cell,B cell Zone
203,18041,85859,macrophage,B cell Zone
204,17044,85881,follicular dendritic cell,T cell Zone
205,17835,85869,CD4 T cell,B cell Zone
206,16776,85848,macrophage,T cell Zone
207,17595,85868,Memory B cell,B cell Zone
209,17657,85863,Memory B cell,B cell Zone
210,17084,85836,follicular dendritic cell,T cell Zone
211,17560,85849,CD8 T cell,T cell Zone
212,17798,85835,Memory B cell,B cell Zone
214,17165,85841,macrophage,T cell Zone
215,17909,85846,macrophage,B cell Zone
216,18009,85854,macrophage,B cell Zone
217,16949,85835,follicular dendritic cell,T cell Zone
218,17345,85814,CD8 T cell,T cell Zone
219,17455,85834,Memory B cell,T cell Zone
220,17012,85818,macrophage,T cell Zone
222,17874,85809,macrophage,B cell Zone
223,17979,85806,CD4 T cell,B cell Zone
225,16856,85819,follicular dendritic cell,T cell Zone
226,17206,85796,follicular dendritic cell,T cell Zone
228,17588,85817,Memory B cell,B cell Zone
229,17707,85816,Memory B cell,B cell Zone
230,17529,85791,macrophage,T cell Zone
231,17640,85810,Memory B cell,B cell Zone
233,17746,85797,Naive B cell,B cell Zone
235,17102,85769,follicular dendritic cell,T cell Zone
236,17447,85764,macrophage,T cell Zone
237,17382,85786,macrophage,T cell Zone
238,18063,85805,macrophage,B cell Zone
239,16801,85767,T-zone reticular cell,T cell Zone
240,16901,85782,follicular dendritic cell,T cell Zone
241,16558,85779,unknown,T cell Zone
242,17251,85759,macrophage,T cell Zone
243,17669,85772,Memory B cell,B cell Zone
245,16947,85750,follicular dendritic cell,T cell Zone
246,17584,85758,Memory B cell,B cell Zone
247,17535,85766,Naive B cell,B cell Zone
249,17326,85756,Memory B cell,B cell Zone
250,16612,85756,pericyte,T cell Zone
251,17630,85751,Memory B cell,B cell Zone
253,16719,85731,T-zone reticular cell,T cell Zone
254,17000,85741,macrophage,T cell Zone
255,17774,85747,Memory B cell,B cell Zone
256,16817,85709,macrophage,T cell Zone
257,17162,85714,follicular dendritic cell,T cell Zone
259,17717,85748,Memory B cell,B cell Zone
261,17351,85712,Memory B cell,T cell Zone
263,16564,85707,macrophage,T cell Zone
264,17268,85708,macrophage,T cell Zone
265,17665,85712,Memory B cell,B cell Zone
266,16639,85695,pericyte,T cell Zone
267,17920,85721,Memory B cell,B cell Zone
268,17532,85719,CD4 T cell,B cell Zone
269,17481,85707,Memory B cell,B cell Zone
270,17860,85718,CD4 T cell,B cell Zone
271,17207,85712,CD4 T cell,T cell Zone
272,17706,85696,Memory B cell,B cell Zone
273,17988,85695,unknown,B cell Zone
276,17763,85700,CD4 T cell,B cell Zone
277,17970,85711,Memory B cell,B cell Zone
278,16893,85700,follicular dendritic cell,T cell Zone
279,16703,85678,follicular dendritic cell,T cell Zone
280,16407,85675,T-zone reticular cell,T cell Zone
281,17089,85683,follicular dendritic cell,T cell Zone
282,17578,85687,macrophage,B cell Zone
283,16856,85682,unknown,T cell Zone
284,17637,85689,Memory B cell,B cell Zone
285,16176,85657,pericyte,T cell Zone
286,18047,85689,Memory B cell,B cell Zone
287,17822,85684,CD4 T cell,B cell Zone
288,17427,85668,Memory B cell,B cell Zone
291,17907,85665,Memory B cell,B cell Zone
292,17013,85648,follicular dendritic cell,T cell Zone
293,17505,85660,CD4 T cell,B cell Zone
295,17747,85661,Memory B cell,B cell Zone
296,16930,85657,follicular dendritic cell,T cell Zone
297,17192,85657,Naive B cell,T cell Zone
298,16442,85651,CD4 T cell,T cell Zone
299,17258,85627,macrophage,T cell Zone
300,17332,85638,follicular dendritic cell,B cell Zone
301,17982,85638,Naive B cell,B cell Zone
303,17866,85636,CD4 T cell,B cell Zone
304,16599,85625,macrophage,T cell Zone
305,17400,85639,Naive B cell,B cell Zone
306,17613,85639,Memory B cell,B cell Zone
307,17706,85624,Memory B cell,B cell Zone
308,16518,85641,macrophage,T cell Zone
309,17939,85625,CD8 T cell,B cell Zone
310,17787,85617,Memory B cell,B cell Zone
312,16882,85634,T-zone reticular cell,T cell Zone
313,17544,85618,Memory B cell,B cell Zone
314,16801,85611,T-zone reticular cell,T cell Zone
315,17096,85589,macrophage,T cell Zone
316,16716,85600,follicular dendritic cell,T cell Zone
318,16414,85591,macrophage,T cell Zone
319,17189,85592,macrophage,T cell Zone
320,16488,85586,macrophage,T cell Zone
321,16344,85587,T-zone reticular cell,T cell Zone
322,17455,85585,CD4 T cell,B cell Zone
323,17911,85587,Memory B cell,B cell Zone
324,17390,85590,Memory B cell,B cell Zone
325,16981,85571,follicular dendritic cell,T cell Zone
326,18079,85658,Memory B cell,B cell Zone
327,17612,85588,Memory B cell,B cell Zone
329,16565,85580,macrophage,T cell Zone
330,17325,85577,Memory B cell,B cell Zone
331,16891,85555,follicular dendritic cell,T cell Zone
332,17274,85582,follicular dendritic cell,B cell Zone
334,17679,85576,CD4 T cell,B cell Zone
335,17840,85573,Memory B cell,B cell Zone
336,16235,85576,unknown,T cell Zone
337,16631,85535,macrophage,T cell Zone
338,17531,85573,Memory B cell,B cell Zone
339,18071,85557,Naive B cell,B cell Zone
340,16806,85567,macrophage,T cell Zone
341,16196,85569,unknown,T cell Zone
342,17975,85557,follicular dendritic cell,B cell Zone
343,17206,85548,macrophage,B cell Zone
344,17586,85557,Naive B cell,B cell Zone
346,16157,85562,unknown,T cell Zone
347,17802,85550,Memory B cell,B cell Zone
348,16112,85555,unknown,T cell Zone
349,17461,85542,Naive B cell,B cell Zone
351,16287,85548,macrophage,T cell Zone
352,17371,85531,CD4 T cell,B cell Zone
353,17732,85552,Memory B cell,B cell Zone
354,18010,85533,Naive B cell,B cell Zone
355,17105,85527,Memory B cell,B cell Zone
356,16748,85517,follicular dendritic cell,T cell Zone
357,16473,85506,follicular dendritic cell,T cell Zone
358,17703,85526,Memory B cell,B cell Zone
359,16815,85506,follicular dendritic cell,T cell Zone
360,16684,85518,T-zone reticular cell,T cell Zone
361,17609,85526,Memory B cell,B cell Zone
362,16994,85527,Memory B cell,B cell Zone
363,17914,85531,Memory B cell,B cell Zone
364,18058,85514,Naive B cell,B cell Zone
365,17256,85520,macrophage,B cell Zone
366,17884,85496,pericyte,B cell Zone
367,17315,85512,Memory B cell,B cell Zone
368,17528,85520,Memory B cell,B cell Zone
369,16376,85499,macrophage,T cell Zone
370,17745,85489,CD4 T cell,B cell Zone
372,17037,85495,Memory B cell,B cell Zone
374,17804,85489,Memory B cell,B cell Zone
375,16222,85492,follicular dendritic cell,T cell Zone
376,17432,85494,Memory B cell,B cell Zone
378,16965,85479,Naive B cell,T cell Zone
379,17964,85491,macrophage,B cell Zone
380,16155,85488,unknown,T cell Zone
381,16278,85461,macrophage,T cell Zone
382,17159,85484,unknown,B cell Zone
383,17500,85468,Memory B cell,B cell Zone
384,18041,85470,macrophage,B cell Zone
385,17556,85473,Memory B cell,B cell Zone
386,17615,85472,Memory B cell,B cell Zone
387,17224,85466,Memory B cell,B cell Zone
388,17334,85482,Naive B cell,B cell Zone
389,17098,85471,CD8 T cell,B cell Zone
390,17384,85470,Naive B cell,B cell Zone
391,17271,85482,Memory B cell,B cell Zone
392,17683,85458,Memory B cell,B cell Zone
393,16740,85430,follicular dendritic cell,T cell Zone
394,16857,85440,T-zone reticular cell,T cell Zone
395,16937,85458,follicular dendritic cell,T cell Zone
396,16329,85439,macrophage,T cell Zone
397,16625,85418,follicular dendritic cell,T cell Zone
398,17904,85452,GC B DZ,B cell Zone
399,17028,85442,macrophage,B cell Zone
400,17299,85451,Memory B cell,B cell Zone
401,17977,85447,macrophage,B cell Zone
402,17790,85432,Memory B cell,B cell Zone
403,16372,85406,T-zone reticular cell,T cell Zone
404,17359,85433,Memory B cell,B cell Zone
406,17436,85437,Naive B cell,B cell Zone
407,17174,85440,unknown,B cell Zone
408,17620,85425,Memory B cell,B cell Zone
409,16480,85432,T-zone reticular cell,T cell Zone
410,17717,85394,Memory B cell,B cell Zone
412,17241,85417,Memory B cell,B cell Zone
413,18018,85377,Memory B cell,B cell Zone
415,16143,85423,unknown,T cell Zone
416,17536,85416,Naive B cell,B cell Zone
417,17880,85411,Memory B cell,B cell Zone
418,16558,85384,macrophage,T cell Zone
419,17289,85405,Naive B cell,B cell Zone
420,17939,85379,Naive B cell,B cell Zone
422,16248,85388,macrophage,T cell Zone
423,17169,85392,Memory B cell,B cell Zone
424,17822,85399,Memory B cell,B cell Zone
425,16183,85406,CD4 T cell,T cell Zone
426,16816,85377,macrophage,B cell Zone
427,17037,85390,macrophage,B cell Zone
429,16498,85390,follicular dendritic cell,T cell Zone
430,17331,85397,Memory B cell,B cell Zone
431,17433,85393,unknown,B cell Zone
432,17598,85397,unknown,B cell Zone
433,16114,85385,T-zone reticular cell,T cell Zone
434,17501,85392,Naive B cell,B cell Zone
435,17579,85370,Memory B cell,B cell Zone
436,17134,85368,unknown,B cell Zone
437,17363,85360,T-zone reticular cell,B cell Zone
439,17104,85387,Memory B cell,B cell Zone
440,15861,85318,pericyte,T cell Zone
441,16446,85355,T-zone reticular cell,T cell Zone
442,16760,85377,Memory B cell,T cell Zone
443,17247,85365,Naive B cell,B cell Zone
444,17601,85395,Naive B cell,B cell Zone
445,16226,85371,unknown,T cell Zone
446,16875,85315,macrophage,B cell Zone
447,17392,85385,unknown,B cell Zone
448,17311,85342,Memory B cell,B cell Zone
449,17497,85369,CD4 T cell,B cell Zone
450,17830,85348,unknown,B cell Zone
451,16067,85292,endothelial cell,T cell Zone
452,16128,85313,follicular dendritic cell,T cell Zone
453,17902,85341,CD4 T cell,B cell Zone
455,17940,85386,Memory B cell,B cell Zone
456,17705,85343,Memory B cell,B cell Zone
457,17078,85332,interferon-stimulated cell,B cell Zone
458,16267,85336,follicular dendritic cell,T cell Zone
459,17419,85303,Memory B cell,B cell Zone
460,16326,85359,CD4 T cell,T cell Zone
461,16835,85325,macrophage,B cell Zone
462,16515,85327,T-zone reticular cell,T cell Zone
463,17784,85334,Memory B cell,B cell Zone
464,17996,85337,Memory B cell,B cell Zone
465,16105,85328,endothelial cell,T cell Zone
466,16464,85344,unknown,T cell Zone
467,17035,85282,macrophage,B cell Zone
468,17308,85282,Memory B cell,B cell Zone
470,17177,85273,Naive B cell,B cell Zone
471,17911,85326,Memory B cell,B cell Zone
472,16180,85362,follicular dendritic cell,T cell Zone
473,16924,85325,Memory B cell,B cell Zone
475,17367,85288,follicular dendritic cell,B cell Zone
476,17810,85301,unknown,B cell Zone
477,17540,85299,Memory B cell,B cell Zone
484,20747,88746,dendritic cell,Medulla
488,20686,88750,Memory B cell,Medulla
490,20648,88709,dendritic cell,Medulla
494,20771,88690,plasma cell,Medulla
495,20873,88672,Memory B cell,Medulla
496,20702,88670,dendritic cell,Medulla
500,20499,88652,pericyte,Medulla
502,20823,88663,unknown,Medulla
503,20617,88645,Memory B cell,Medulla
505,20785,88612,plasma cell,Medulla
506,20884,88629,Memory B cell,Medulla
507,20553,88622,Memory B cell,Medulla
509,20977,88606,plasma cell,Medulla
510,20650,88595,pericyte,Medulla
511,20426,88601,dendritic cell,Medulla
512,21059,88589,plasma cell,Medulla
513,20736,88576,plasma cell,Medulla
514,20908,88592,Memory B cell,Medulla
516,20299,88580,plasma cell,Medulla
517,20401,88579,dendritic cell,Medulla
518,20361,88576,plasma cell,Medulla
519,20831,88585,follicular dendritic cell,Medulla
520,20503,88577,Memory B cell,Medulla
523,21007,88540,pericyte,Medulla
524,20472,88538,unknown,Medulla
525,20272,88510,plasma cell,Medulla
526,20654,88519,plasma cell,Medulla
527,20417,88533,dendritic cell,Medulla
528,20530,88534,dendritic cell,Medulla
529,21207,88487,Naive B cell,Medulla
531,21086,88484,pericyte,Medulla
532,20552,88474,Memory B cell,Medulla
533,21006,88479,endothelial cell,Medulla
534,20415,88481,CD4 T cell,Medulla
535,20353,88469,plasma cell,Medulla
536,20459,88445,Memory B cell,Medulla
537,20715,88464,endothelial cell,Medulla
538,21129,88430,follicular dendritic cell,Medulla
539,21326,88399,GC B DZ,Medulla
540,21178,88416,Memory B cell,Medulla
542,20397,88425,unknown,Medulla
543,21070,88407,CD4 T cell,Medulla
544,20339,88395,plasma cell,Medulla
546,20222,88414,macrophage,Medulla
547,20568,88427,unknown,Medulla
548,20779,88387,Memory B cell,Medulla
549,20584,88376,CD8 T cell,Medulla
551,21176,88353,pericyte,Medulla
553,20734,88347,endothelial cell,Medulla
554,20199,88310,plasma cell,Medulla
555,20964,88347,endothelial cell,Medulla
558,21287,88296,GC B DZ,Medulla
559,21598,88341,unknown,Medulla
560,20523,88324,unknown,Medulla
562,21064,88319,follicular dendritic cell,Medulla
563,20169,88325,dendritic cell,Medulla
564,21134,88304,Memory B cell,Medulla
566,21266,88274,CD4 T cell,Medulla
568,21612,88263,GC B DZ,Medulla
569,20982,88298,T-zone reticular cell,Medulla
570,20344,88287,dendritic cell,Medulla
571,20934,88287,T-zone reticular cell,Medulla
572,20619,88306,endothelial cell,Medulla
573,21482,88292,T-zone reticular cell,Medulla
574,20740,88281,pericyte,Medulla
575,20271,88266,CD4 T cell,Medulla
576,21424,88251,GC B DZ,Medulla
577,20116,88279,unknown,Medulla
578,20841,88273,macrophage,Medulla
579,20633,88254,plasma cell,Medulla
580,21320,88220,GC B DZ,Medulla
582,20108,88238,dendritic cell,Medulla
583,20420,88245,endothelial cell,Medulla
584,21220,88239,pericyte,Medulla
585,21680,88233,Memory B cell,Medulla
586,21067,88249,CD4 T cell,Medulla
587,21539,88241,Memory B cell,Medulla
588,20455,88230,CD4 T cell,Medulla
589,20987,88241,GC B DZ,Medulla
590,20916,88228,Memory B cell,Medulla
592,20548,88215,plasma cell,Medulla
593,20859,88226,T-zone reticular cell,Medulla
598,20166,88198,endothelial cell,Medulla
599,20800,88218,plasma cell,Medulla
600,20746,88227,unknown,Medulla
601,21020,88193,T-zone reticular cell,Medulla
602,21393,88184,T-zone reticular cell,Medulla
604,21267,88190,endothelial cell,Medulla
605,21144,88189,plasma cell,Medulla
606,21819,88192,unknown,Medulla
607,21538,88171,Memory B cell,Medulla
608,20402,88180,T-zone reticular cell,Medulla
609,20909,88174,plasma cell,Medulla
610,20734,88183,Memory B cell,Medulla
611,21638,88127,endothelial cell,Medulla
613,20853,88155,CD4 T cell,Medulla
614,20668,88181,Memory B cell,Medulla
616,21445,88148,follicular dendritic cell,Medulla
617,20780,88145,Memory B cell,Medulla
618,21738,88140,plasma cell,Medulla
619,20528,88132,plasma cell,Medulla
620,20113,88116,unknown,Medulla
621,20623,88140,plasma cell,Medulla
623,20463,88136,CD4 T cell,Medulla
624,20588,88130,plasma cell,Medulla
628,20764,88118,Memory B cell,Medulla
629,20711,88104,unknown,Medulla
630,20966,88106,pericyte,Medulla
631,21374,88111,plasma cell,Medulla
632,20663,88109,Memory B cell,Medulla
633,21334,88098,Memory B cell,Medulla
634,21093,88104,pericyte,Medulla
635,20342,88098,T-zone reticular cell,Medulla
636,20413,88106,Memory B cell,Medulla
637,21275,88098,pericyte,Medulla
638,20562,88065,plasma cell,Medulla
639,21690,88080,T-zone reticular cell,Medulla
640,21975,88084,plasma cell,Medulla
641,20496,88091,unknown,Medulla
642,20629,88065,plasma cell,Medulla
643,21743,88071,plasma cell,Medulla
644,20840,88056,pericyte,Medulla
646,20462,88082,unknown,Medulla
648,20083,88060,unknown,Medulla
650,20775,88047,pericyte,Medulla
652,20395,88046,Memory B cell,Medulla
653,20499,88043,CD8 T cell,Medulla
656,20446,88036,plasma cell,Medulla
657,20704,88028,plasma cell,Medulla
659,20351,88012,Memory B cell,Medulla
660,20525,88016,unknown,Medulla
661,21366,87997,pericyte,Medulla
662,21435,88019,plasma cell,Medulla
663,21532,88016,macrophage,Medulla
664,20247,88004,endothelial cell,Medulla
666,20304,88011,CD4 T cell,Medulla
668,21292,88011,pericyte,Medulla
669,20394,87995,Memory B cell,Medulla
671,20681,87990,plasma cell,Medulla
672,22020,87995,plasma cell,Medulla
673,20475,87972,plasma cell,Medulla
675,21757,87943,macrophage,Medulla
679,21445,87936,T-zone reticular cell,Medulla
680,19992,87954,unknown,Medulla
681,21080,87923,Memory B cell,Medulla
682,20395,87927,T-zone reticular cell,Medulla
683,20593,87943,unknown,Medulla
684,22014,87909,plasma cell,Medulla
685,20676,87936,plasma cell,Medulla
686,22209,87924,pericyte,Medulla
687,22121,87920,plasma cell,Medulla
688,20715,87925,unknown,Medulla
689,22181,87919,endothelial cell,Medulla
690,20236,87938,unknown,Medulla
693,20640,87899,unknown,Medulla
695,20040,87914,unknown,Medulla
696,21596,87916,plasma cell,Medulla
697,20125,87916,unknown,Medulla
698,20385,87903,plasma cell,Medulla
699,20473,87892,plasma cell,Medulla
701,20221,87878,CD8 T cell,Medulla
702,20087,87895,unknown,Medulla
705,21976,87865,plasma cell,Medulla
706,20684,87860,pericyte,Medulla
707,19897,87872,dendritic cell,Medulla
708,20268,87856,T-zone reticular cell,Medulla
711,21858,87854,plasma cell,Medulla
712,21921,87836,plasma cell,Medulla
713,22093,87835,plasma cell,Medulla
714,22273,87890,plasma cell,Medulla
716,21014,87844,unknown,Medulla
717,22200,87847,endothelial cell,Medulla
718,21604,87843,macrophage,Medulla
720,20380,87835,Memory B cell,Medulla
721,20314,87807,macrophage,Medulla
722,21791,87822,Memory B cell,Medulla
723,20144,87832,CD4 T cell,Medulla
724,20625,87838,pericyte,Medulla
725,20018,87814,CD4 T cell,Medulla
728,20463,87807,T-zone reticular cell,Medulla
730,21474,87823,plasma cell,Medulla
731,20596,87805,pericyte,Medulla
732,22241,87823,plasma cell,Medulla
735,22180,87812,endothelial cell,Medulla
736,19928,87801,unknown,Medulla
737,20064,87797,unknown,Medulla
738,21654,87775,macrophage,Medulla
739,19871,87805,unknown,Medulla
740,22286,87791,plasma cell,Medulla
741,19956,87775,unknown,Medulla
742,21768,87790,plasma cell,Medulla
743,22138,87758,plasma cell,Medulla
746,20379,87764,plasma cell,Medulla
747,21987,87770,macrophage,Medulla
749,21874,87776,T-zone reticular cell,Medulla
750,21490,87784,follicular dendritic cell,Medulla
751,22214,87761,endothelial cell,Medulla
753,20088,87757,unknown,Medulla
754,22071,87767,plasma cell,Medulla
756,20158,87762,dendritic cell,Medulla
759,19846,87738,dendritic cell,Medulla
760,22293,87726,T-zone reticular cell,Medulla
762,20563,87744,pericyte,Medulla
764,21462,87721,T-zone reticular cell,Medulla
765,21535,87722,T-zone reticular cell,Medulla
767,21386,87735,pericyte,Medulla
770,20240,87706,pericyte,Medulla
771,21595,87737,macrophage,Medulla
772,20461,87721,plasma cell,Medulla
773,21897,87721,plasma cell,Medulla
774,22090,87725,plasma cell,Medulla
775,20585,87703,pericyte,Medulla
776,21768,87686,plasma cell,Medulla
777,22226,87701,plasma cell,Medulla
779,20363,87708,plasma cell,Medulla
781,20682,87680,pericyte,Medulla
782,22006,87673,plasma cell,Medulla
784,21687,87680,macrophage,Medulla
785,22095,87668,plasma cell,Medulla
786,21926,87658,dendritic cell,Medulla
787,22190,87673,macrophage,Medulla
788,21610,87660,GC B DZ,Medulla
790,20379,87670,plasma cell,Medulla
791,20475,87640,plasma cell,Medulla
792,21436,87644,plasma cell,Medulla
793,21574,87649,follicular dendritic cell,Medulla
796,20553,87664,CD4 T cell,Medulla
797,19687,87650,Memory B cell,T cell Zone
798,22291,87613,plasma cell,Medulla
799,21659,87657,Naive B cell,Medulla
801,21530,87624,macrophage,Medulla
802,20230,87647,unknown,Medulla
803,19804,87627,unknown,Medulla
804,20596,87618,plasma cell,Medulla
810,22044,87601,plasma cell,Medulla
811,22191,87614,macrophage,Medulla
812,19947,87612,dendritic cell,Medulla
814,20240,87598,T-zone reticular cell,Medulla
815,21663,87604,Memory B cell,Medulla
817,20307,87603,plasma cell,Medulla
818,21744,87551,plasma cell,Medulla
819,20408,87587,plasma cell,Medulla
820,20722,87599,pericyte,Medulla
821,19879,87607,unknown,Medulla
822,20195,87598,unknown,Medulla
823,21814,87593,plasma cell,Medulla
824,21578,87580,follicular dendritic cell,Medulla
825,21906,87587,T-zone reticular cell,Medulla
828,19672,87572,T-zone reticular cell,T cell Zone
829,21425,87582,macrophage,Medulla
831,20597,87537,plasma cell,Medulla
832,21511,87557,T-zone reticular cell,Medulla
833,22206,87536,plasma cell,Medulla
834,20768,87556,pericyte,Medulla
835,21907,87550,plasma cell,Medulla
836,20371,87546,plasma cell,Medulla
837,21654,87551,Naive B cell,Medulla
838,21576,87521,endothelial cell,Medulla
839,22118,87532,plasma cell,Medulla
841,20510,87538,T-zone reticular cell,Medulla
843,19833,87521,unknown,Medulla
844,19886,87534,macrophage,Medulla
845,20710,87527,pericyte,Medulla
849,20305,87520,macrophage,Medulla
851,21890,87497,plasma cell,Medulla
853,19656,87507,plasma cell,Medulla
854,21431,87518,follicular dendritic cell,Medulla
855,22354,87527,plasma cell,Medulla
857,22292,87514,pericyte,Medulla
858,20349,87502,plasma cell,Medulla
859,19398,87494,pericyte,T cell Zone
860,19947,87502,plasma cell,Medulla
861,20783,87484,pericyte,Medulla
864,19900,87482,unknown,Medulla
865,21453,87474,GC B DZ,Medulla
866,22093,87488,plasma cell,Medulla
867,19498,87487,pericyte,T cell Zone
868,20911,87469,pericyte,Medulla
869,20034,87474,CD8 T cell,Medulla
870,20527,87455,endothelial cell,Medulla
871,19332,87465,pericyte,T cell Zone
872,19807,87472,unknown,Medulla
873,21611,87471,follicular dendritic cell,Medulla
875,20248,87444,pericyte,Medulla
876,21328,87456,follicular dendritic cell,Medulla
877,21418,87448,Memory B cell,Medulla
879,19993,87451,plasma cell,Medulla
880,20655,87445,T-zone reticular cell,Medulla
881,22012,87449,plasma cell,Medulla
882,19653,87450,unknown,Medulla
883,19637,87423,unknown,Medulla
885,21694,87440,endothelial cell,Medulla
886,21741,87449,unknown,Medulla
887,19570,87408,macrophage,Medulla
888,19693,87429,CD4 T cell,Medulla
889,19770,87431,follicular dendritic cell,Medulla
890,19913,87431,unknown,Medulla
891,22103,87433,plasma cell,Medulla
892,21540,87440,T-zone reticular cell,Medulla
894,20133,87418,pericyte,Medulla
895,20738,87436,plasma cell,Medulla
896,20788,87435,dendritic cell,Medulla
897,21585,87409,Memory B cell,Medulla
898,21786,87417,plasma cell,Medulla
899,19243,87393,follicular dendritic cell,T cell Zone
900,19511,87413,unknown,Medulla
901,21470,87388,Memory B cell,Medulla
902,22224,87414,plasma cell,Medulla
904,20282,87416,macrophage,Medulla
905,22168,87405,plasma cell,Medulla
